iter	Logloss
0	0.6470465238
1	0.6108927075
2	0.5861727907
3	0.5629740033
4	0.5419166679
5	0.5275016331
6	0.5156742647
7	0.5065034154
8	0.4971923238
9	0.488989364
10	0.4812239752
11	0.4744922607
12	0.4688602114
13	0.4617286855
14	0.4576317781
15	0.4539659813
16	0.4502257563
17	0.444963753
18	0.4416058459
19	0.4389970576
20	0.4367776671
21	0.4346338551
22	0.4319330864
23	0.4278816972
24	0.4265169759
25	0.4240200804
26	0.4221660454
27	0.4191356159
28	0.4176988265
29	0.4163345182
30	0.4149649589
31	0.4126754768
32	0.4111695398
33	0.4101811774
34	0.408203066
35	0.4070798303
36	0.4053005478
37	0.4039162386
38	0.4019449417
39	0.3997995368
40	0.3983902413
41	0.397193787
42	0.3957530741
43	0.3949620066
44	0.3937893882
45	0.3931398608
46	0.3908909115
47	0.3899017821
48	0.388490982
49	0.3878328407
50	0.3862087864
51	0.3854137953
52	0.3844313919
53	0.3836583782
54	0.3827150915
55	0.3812727857
56	0.3803559013
57	0.3790108564
58	0.3781073355
59	0.3773458268
60	0.37606282
61	0.3754826173
62	0.3749196425
63	0.3741592547
64	0.3736725665
65	0.3732645838
66	0.3725026621
67	0.3719058804
68	0.3715728273
69	0.3706919033
70	0.3703664021
71	0.3693383919
72	0.3690141297
73	0.368615646
74	0.3675496105
75	0.3670795601
76	0.3663954
77	0.365847529
78	0.3644261091
79	0.3637969071
80	0.3629983171
81	0.3625131923
82	0.3619752924
83	0.361065252
84	0.3601305497
85	0.3591674392
86	0.358400709
87	0.3579481225
88	0.3574713167
89	0.3566668268
90	0.3557304725
91	0.355022152
92	0.3541371275
93	0.3536287274
94	0.3529213213
95	0.3523328882
96	0.351207322
97	0.3508021713
98	0.3500319896
99	0.3495113176
100	0.3486885672
101	0.3480543208
102	0.3469128542
103	0.3464422728
104	0.3460055573
105	0.3454768613
106	0.3445176447
107	0.3437216802
108	0.3430282866
109	0.3424526563
110	0.341979656
111	0.3414474495
112	0.340726326
113	0.3400868581
114	0.3395907889
115	0.3388663025
116	0.3382684294
117	0.3376997611
118	0.3372035444
119	0.3364452216
120	0.335587042
121	0.3350205567
122	0.3344861082
123	0.3339135164
124	0.3332203293
125	0.3328655348
126	0.3324739245
127	0.331936467
128	0.3312645493
129	0.3301556506
130	0.3295723208
131	0.3290738917
132	0.3283843625
133	0.3277611785
134	0.3271223596
135	0.3263993187
136	0.3256678703
137	0.3251202649
138	0.324492892
139	0.3239681489
140	0.3235423483
141	0.3229928549
142	0.3225897397
143	0.3219303004
144	0.3214887764
145	0.3210788172
146	0.3206936674
147	0.3201839692
148	0.3197086974
149	0.3192089702
150	0.3187598057
151	0.3182992543
152	0.317827434
153	0.3174991008
154	0.3171546608
155	0.3168455025
156	0.3160751734
157	0.3155536163
158	0.314988134
159	0.3147576813
160	0.314101723
161	0.3136049458
162	0.3131035371
163	0.3126701845
164	0.3123466009
165	0.3119998598
166	0.3115455919
167	0.3111528016
168	0.3106303595
169	0.3102976604
170	0.3097914433
171	0.3092812436
172	0.3089350041
173	0.3085096165
174	0.308053962
175	0.3074839073
176	0.307169852
177	0.3067843482
178	0.3064027088
179	0.3057637129
180	0.3053678252
181	0.3050311141
182	0.304684255
183	0.3043749788
184	0.3039004739
185	0.3034265591
186	0.3031482282
187	0.3025850468
188	0.3023003734
189	0.3017446556
190	0.3014735816
191	0.3011735978
192	0.3009052083
193	0.3006183814
194	0.3001671815
195	0.2996000767
196	0.2992492351
197	0.2988847647
198	0.2985752524
199	0.2981371799
200	0.2977461891
201	0.2974243754
202	0.2971223856
203	0.2969171258
204	0.2967116594
205	0.29625807
206	0.2958105575
207	0.2955524929
208	0.2952156343
209	0.2949589268
210	0.2946412431
211	0.2943642101
212	0.2941089776
213	0.2938728314
214	0.2936348562
215	0.2934158495
216	0.2929233793
217	0.2927248159
218	0.292350522
219	0.2921337277
220	0.2917648913
221	0.2914332836
222	0.2909647673
223	0.2906198257
224	0.2904635356
225	0.2901708678
226	0.2899047793
227	0.2895070625
228	0.289242685
229	0.2889381877
230	0.2886370239
231	0.2884279586
232	0.2879597372
233	0.2877204936
234	0.2874225452
235	0.2872370503
236	0.2868776243
237	0.2866369352
238	0.2863709352
239	0.2861769443
240	0.2859534535
241	0.2856684261
242	0.285337143
243	0.2850372477
244	0.2848153499
245	0.2845933047
246	0.2844282826
247	0.2841198618
248	0.2838970791
249	0.2837452434
250	0.2834583576
251	0.2832646617
252	0.2828727564
253	0.2825731265
254	0.2823296939
255	0.2820674994
256	0.2816240579
257	0.2811785809
258	0.2808658532
259	0.2806008857
260	0.2803042353
261	0.2799905931
262	0.2796668619
263	0.2794997749
264	0.2792353383
265	0.2788985092
266	0.2786111219
267	0.278223376
268	0.2779638365
269	0.2777489007
270	0.2774892137
271	0.277163683
272	0.2769240559
273	0.2767515998
274	0.276552004
275	0.2763103708
276	0.2759653113
277	0.2756925853
278	0.27539446
279	0.2750980456
280	0.274671714
281	0.274230957
282	0.2740873518
283	0.2738237118
284	0.2736798116
285	0.2733127747
286	0.2729433188
287	0.2726092627
288	0.2724691385
289	0.2722111919
290	0.2718296116
291	0.2714619551
292	0.2712267825
293	0.270952493
294	0.2706734541
295	0.2704424409
296	0.2703091901
297	0.2699520356
298	0.269523462
299	0.269083531
