iter	Logloss
0	0.6442608542
1	0.6067366415
2	0.5771049976
3	0.5536987474
4	0.5332575399
5	0.5173555415
6	0.5033117791
7	0.4935119354
8	0.4849196229
9	0.4790758926
10	0.472242216
11	0.4671849009
12	0.4605738042
13	0.4558926103
14	0.4524942389
15	0.4483341238
16	0.4448400992
17	0.4426026781
18	0.4395781162
19	0.4374228281
20	0.4356748367
21	0.4330395299
22	0.4300045538
23	0.4288891911
24	0.4273307104
25	0.4257198877
26	0.4245213772
27	0.4229486541
28	0.4216314246
29	0.4205090967
30	0.4196852835
31	0.4186484831
32	0.4178694279
33	0.4169659882
34	0.416382961
35	0.415694544
36	0.4149758024
37	0.4143331011
38	0.4132577894
39	0.412458743
40	0.4114822626
41	0.4107583038
42	0.4101671326
43	0.4097295787
44	0.4090862777
45	0.4083030687
46	0.4072170482
47	0.4066965312
48	0.4061309409
49	0.4054501529
50	0.4048567888
51	0.403902597
52	0.4032707566
53	0.4025577988
54	0.4019399341
55	0.4015455972
56	0.40110551
57	0.4006135837
58	0.4000059358
59	0.3999199603
60	0.3995581275
61	0.3984395083
62	0.3981969997
63	0.397409217
64	0.3966502513
65	0.396106106
66	0.3955806715
67	0.3949811088
68	0.3946228155
69	0.3940425279
70	0.3933761757
71	0.3926939578
72	0.3919499713
73	0.3914456198
74	0.3908199544
75	0.3903658348
76	0.3897321038
77	0.3892831394
78	0.3888473569
79	0.3883740354
80	0.387780709
81	0.3871845027
82	0.3868236174
83	0.3862007137
84	0.3858977944
85	0.3856400958
86	0.3850554355
87	0.3845790019
88	0.3839077
89	0.3833367275
90	0.3827420797
91	0.3822726035
92	0.3813971566
93	0.3807753352
94	0.3802678303
95	0.3796287603
96	0.379043612
97	0.3786279558
98	0.3779457395
99	0.3773543522
100	0.376912596
101	0.3766371839
102	0.3760965384
103	0.3753319922
104	0.3749666869
105	0.3745081593
106	0.3737655614
107	0.373254765
108	0.3727134329
109	0.372195631
110	0.3716677938
111	0.371036417
112	0.3705041793
113	0.3699372514
114	0.3694823935
115	0.3686868509
116	0.3682158372
117	0.3674905253
118	0.3671929616
119	0.3665877748
120	0.3660625988
121	0.3657125671
122	0.3650913493
123	0.3646721045
124	0.3643344955
125	0.3637192877
126	0.3632871462
127	0.3629421375
128	0.36244619
129	0.3619692355
130	0.361545184
131	0.361058056
132	0.3607231365
133	0.3603293466
134	0.3600043811
135	0.3595757007
136	0.3589326638
137	0.3586061042
138	0.3580352538
139	0.3572736816
140	0.3568634614
141	0.3565486422
142	0.3562263422
143	0.355824367
144	0.3555842446
145	0.3551709389
146	0.3548021775
147	0.3543438043
148	0.3538058701
149	0.3534313215
150	0.3528777708
151	0.3523287143
152	0.3516547021
153	0.351360054
154	0.3509193837
155	0.3504271309
156	0.3497638679
157	0.3492736393
158	0.3490678316
159	0.3488161084
160	0.348189224
161	0.3476042726
162	0.3470175074
163	0.3465671896
164	0.3459840403
165	0.3456268644
166	0.3452807819
167	0.344925181
168	0.3445213552
169	0.3440067318
170	0.3436077109
171	0.3433293435
172	0.3428262402
173	0.3425002215
174	0.3422858692
175	0.3420013098
176	0.3415807055
177	0.3410204228
178	0.3406962812
179	0.3404044355
180	0.3401331788
181	0.3396479513
182	0.3390666715
183	0.3387715259
184	0.338385745
185	0.338132389
186	0.3377803469
187	0.3373431007
188	0.3368836589
189	0.3366334003
190	0.3362563615
191	0.3357762145
192	0.3352996589
193	0.3348941561
194	0.3343005601
195	0.3338959109
196	0.3335425231
197	0.333093158
198	0.3327236743
199	0.3322822576
200	0.3318155411
201	0.3314104335
202	0.3310376694
203	0.3306763148
204	0.330265776
205	0.3300356113
206	0.3296623965
207	0.3292113092
208	0.3287273585
209	0.3284825622
210	0.3281950735
211	0.3279009655
212	0.3275536433
213	0.3271830414
214	0.3267518885
215	0.3264424481
216	0.3261817757
217	0.325809631
218	0.3256382491
219	0.3252862737
220	0.3250214671
221	0.3246170551
222	0.3243155282
223	0.3238347963
224	0.3234980602
225	0.3231341508
226	0.3228793415
227	0.322457135
228	0.3220369973
229	0.321704918
230	0.3214617575
231	0.3211131614
232	0.3209641584
233	0.3206765642
234	0.3203981263
235	0.3201217834
236	0.3197743001
237	0.319560804
238	0.3192792646
239	0.3189385878
240	0.3186032776
241	0.3183615146
242	0.3180631618
243	0.31774228
244	0.3173710816
245	0.3171511897
246	0.3169226761
247	0.316633681
248	0.3163495488
249	0.3162101174
250	0.3160284263
251	0.3156330602
252	0.3154523007
253	0.3150322864
254	0.3147579338
255	0.3144666016
256	0.3140533833
257	0.3137369929
258	0.3135386473
259	0.3133039285
260	0.3129903752
261	0.3127562817
262	0.3124198104
263	0.3121079906
264	0.3117555369
265	0.3115427114
266	0.311431204
267	0.3112366031
268	0.3110475348
269	0.3107695695
270	0.3103650622
271	0.3100818099
272	0.3098165602
273	0.3094180194
274	0.3089651595
275	0.3087884078
276	0.3086346445
277	0.3082405548
278	0.3079496719
279	0.307691992
280	0.3072613011
281	0.3069851548
282	0.3065502294
283	0.3062721098
284	0.3060128642
285	0.305590597
286	0.3053326153
287	0.3051313031
288	0.3048475783
289	0.3045495397
290	0.3042299932
291	0.3038692669
292	0.3035150806
293	0.3031262892
294	0.3028383552
295	0.3025743484
296	0.3022822852
297	0.3018848546
298	0.3017491614
299	0.301509211
